"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","608","User should not login with incorrect password","Surefire suite","Mon Feb 23 19:23:19 UTC 2026","passed","Mon Feb 23 19:23:20 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldRejectLoginWithIncorrectPassword"
"","469","User should not login with empty fields","Surefire suite","Mon Feb 23 19:23:16 UTC 2026","passed","Mon Feb 23 19:23:16 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldRejectLoginWithEmptyFields"
"","623","User should not login with incorrect email","Surefire suite","Mon Feb 23 19:23:18 UTC 2026","passed","Mon Feb 23 19:23:18 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldRejectLoginWithIncorrectEmail"
"","3647","User should be able to register with valid credentials","Surefire suite","Mon Feb 23 19:23:21 UTC 2026","passed","Mon Feb 23 19:23:25 UTC 2026","com.olena.automation.ui.RegistrationTests","Surefire test","com.olena.automation.ui.RegistrationTests","verifyUserCanRegister"
"","1213","User should login with valid credentials","Surefire suite","Mon Feb 23 19:23:13 UTC 2026","passed","Mon Feb 23 19:23:15 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldLoginWithValidCredentials"
