"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","User should not login with incorrect email","Surefire suite","Mon Feb 23 19:07:20 UTC 2026","skipped","Mon Feb 23 19:07:20 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldRejectLoginWithIncorrectEmail"
"","1","User should login with valid credentials","Surefire suite","Mon Feb 23 19:07:20 UTC 2026","skipped","Mon Feb 23 19:07:20 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldLoginWithValidCredentials"
"","0","User should be able to register with valid credentials","Surefire suite","Mon Feb 23 19:07:20 UTC 2026","skipped","Mon Feb 23 19:07:20 UTC 2026","com.olena.automation.ui.RegistrationTests","Surefire test","com.olena.automation.ui.RegistrationTests","verifyUserCanRegister"
"","1","User should not login with empty fields","Surefire suite","Mon Feb 23 19:07:20 UTC 2026","skipped","Mon Feb 23 19:07:20 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldRejectLoginWithEmptyFields"
"","1","User should not login with incorrect password","Surefire suite","Mon Feb 23 19:07:20 UTC 2026","skipped","Mon Feb 23 19:07:20 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldRejectLoginWithIncorrectPassword"
"","1","setUp","Surefire suite","Mon Feb 23 19:07:20 UTC 2026","broken","Mon Feb 23 19:07:20 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","setUp"
"","0","setUp","Surefire suite","Mon Feb 23 19:07:20 UTC 2026","broken","Mon Feb 23 19:07:20 UTC 2026","com.olena.automation.ui.RegistrationTests","Surefire test","com.olena.automation.ui.RegistrationTests","setUp"
