"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","579","User should not login with empty fields","Surefire suite","Mon Feb 23 09:11:59 UTC 2026","passed","Mon Feb 23 09:12:00 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldRejectLoginWithEmptyFields"
"","953","User should not login with incorrect password","Surefire suite","Mon Feb 23 09:12:04 UTC 2026","passed","Mon Feb 23 09:12:05 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldRejectLoginWithIncorrectPassword"
"","650","User should not login with incorrect email","Surefire suite","Mon Feb 23 09:12:02 UTC 2026","passed","Mon Feb 23 09:12:03 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldRejectLoginWithIncorrectEmail"
"","5092","User should be able to register with valid credentials","Surefire suite","Mon Feb 23 09:12:07 UTC 2026","passed","Mon Feb 23 09:12:12 UTC 2026","com.olena.automation.ui.RegistrationTests","Surefire test","com.olena.automation.ui.RegistrationTests","verifyUserCanRegister"
"","2779","User should login with valid credentials","Surefire suite","Mon Feb 23 09:11:55 UTC 2026","passed","Mon Feb 23 09:11:57 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldLoginWithValidCredentials"
