"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1826","User should login with valid credentials","Surefire suite","Mon Feb 23 19:12:25 UTC 2026","passed","Mon Feb 23 19:12:27 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldLoginWithValidCredentials"
"","3742","User should be able to register with valid credentials","Surefire suite","Mon Feb 23 19:12:36 UTC 2026","passed","Mon Feb 23 19:12:40 UTC 2026","com.olena.automation.ui.RegistrationTests","Surefire test","com.olena.automation.ui.RegistrationTests","verifyUserCanRegister"
"","460","User should not login with empty fields","Surefire suite","Mon Feb 23 19:12:29 UTC 2026","passed","Mon Feb 23 19:12:29 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldRejectLoginWithEmptyFields"
"","705","User should not login with incorrect password","Surefire suite","Mon Feb 23 19:12:34 UTC 2026","passed","Mon Feb 23 19:12:35 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldRejectLoginWithIncorrectPassword"
"","917","User should not login with incorrect email","Surefire suite","Mon Feb 23 19:12:31 UTC 2026","passed","Mon Feb 23 19:12:32 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldRejectLoginWithIncorrectEmail"
