"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3579","User should be able to register with valid credentials","Surefire suite","Mon Feb 23 09:39:30 UTC 2026","passed","Mon Feb 23 09:39:34 UTC 2026","com.olena.automation.ui.RegistrationTests","Surefire test","com.olena.automation.ui.RegistrationTests","verifyUserCanRegister"
"","381","User should not login with empty fields","Surefire suite","Mon Feb 23 09:39:26 UTC 2026","passed","Mon Feb 23 09:39:26 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldRejectLoginWithEmptyFields"
"","1159","User should login with valid credentials","Surefire suite","Mon Feb 23 09:39:24 UTC 2026","passed","Mon Feb 23 09:39:25 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldLoginWithValidCredentials"
"","572","User should not login with incorrect password","Surefire suite","Mon Feb 23 09:39:29 UTC 2026","passed","Mon Feb 23 09:39:29 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldRejectLoginWithIncorrectPassword"
"","579","User should not login with incorrect email","Surefire suite","Mon Feb 23 09:39:27 UTC 2026","passed","Mon Feb 23 09:39:28 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldRejectLoginWithIncorrectEmail"
