"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30745","User should login with valid credentials","Surefire suite","Mon Feb 23 19:30:08 UTC 2026","passed","Mon Feb 23 19:30:39 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldLoginWithValidCredentials"
"","732","User should not login with incorrect password","Surefire suite","Mon Feb 23 19:30:47 UTC 2026","passed","Mon Feb 23 19:30:47 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldRejectLoginWithIncorrectPassword"
"","5361","User should be able to register with valid credentials","Surefire suite","Mon Feb 23 19:30:49 UTC 2026","passed","Mon Feb 23 19:30:55 UTC 2026","com.olena.automation.ui.RegistrationTests","Surefire test","com.olena.automation.ui.RegistrationTests","verifyUserCanRegister"
"","742","User should not login with empty fields","Surefire suite","Mon Feb 23 19:30:43 UTC 2026","passed","Mon Feb 23 19:30:44 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldRejectLoginWithEmptyFields"
"","683","User should not login with incorrect email","Surefire suite","Mon Feb 23 19:30:45 UTC 2026","passed","Mon Feb 23 19:30:45 UTC 2026","com.olena.automation.ui.LoginTests","Surefire test","com.olena.automation.ui.LoginTests","shouldRejectLoginWithIncorrectEmail"
